,T
2016-03-31,11.435726669520648
2016-04-30,16.251643099483942
2016-05-31,21.97338042237459
2016-06-30,26.270490154109666
2016-07-31,28.51986729452068
2016-08-31,27.49349422089051
2016-09-30,23.4814736729453
2016-10-31,17.741086258561722
2016-11-30,11.56712625631991
2016-12-31,6.0511804366439605
2017-01-31,2.2080800513699614
2017-02-28,4.303688641552583
2017-03-31,13.319029323630218
2017-04-30,14.61758276255722
2017-05-31,23.164244434931618
2017-06-30,26.923141053082304
2017-07-31,29.439493792808264
2017-08-31,28.51049764554807
2017-09-30,20.39041738013708
2017-10-31,21.477918093607457
2017-11-30,13.203911601027528
2017-12-31,11.478477097602877
2018-01-31,8.568889083144086
2018-02-28,8.3495002140412
2018-03-31,9.333325288428625
2018-04-30,17.123187785388268
2018-05-31,19.836849315068605
