,T
2007-11-30,11.816668628605044
2007-12-31,4.280894643908198
2008-01-31,2.6788522660389162
2008-02-29,3.464376103590382
2008-03-31,5.458549146556834
2008-04-30,10.072683931724555
2008-05-31,17.147202275848542
2008-06-30,23.90305768098881
2008-07-31,26.22206886403768
2008-08-31,26.03679517363156
2008-09-30,21.865635668040056
2008-10-31,15.354426133019444
2008-11-30,12.465597410241344
2008-12-31,3.0311772517679856
2009-01-31,6.026648028251941
2009-02-28,1.590094173042985
2009-03-31,5.722118893466757
2009-04-30,8.734161141960783
2009-05-31,19.32235726898176
2009-06-30,22.17783598195018
2009-07-31,26.546006474396734
2009-08-31,24.57005002942907
2009-09-30,21.70810771041795
2009-10-31,14.487229742986017
2009-11-30,9.820270747498512
2009-12-31,0.08573572689817865
2010-01-31,1.2721816754954034
2010-02-28,1.8709564449676463
2010-03-31,3.9755091230135235
2010-04-30,8.09113792426922
2010-05-31,10.018243084167125
2010-06-30,20.28740141259567
2010-07-31,26.032804590935825
2010-08-31,24.482174808711022
2010-09-30,22.041433195997683
2010-10-31,12.578079262311121
2010-11-30,8.59646851088877
2010-12-31,1.527389640965282
2011-01-31,3.1795791642142603
2011-02-28,1.1866127133608302
2011-03-31,5.377625073572744
2011-04-30,4.597655483617871
2011-05-31,10.391809888169576
2011-06-30,18.17438787522076
2011-07-31,23.972233666862905
2011-08-31,24.28459093584462
2011-09-30,20.773887580929966
2011-10-31,15.403972925250173
2011-11-30,8.113475573866992
2011-12-31,5.2918569746909725
2012-01-31,6.53841377280753
2012-02-29,5.805517951736363
2012-03-31,3.766244185531491
2012-04-30,12.677433784579136
2012-05-31,19.65239748871886
2012-06-30,23.432613301942297
2012-07-31,25.791380223661008
2012-08-31,26.53630665097114
2012-09-30,23.419031783402033
2012-10-31,16.118866980576797
2012-11-30,9.964820482636753
2012-12-31,2.205373749264311
2013-01-31,3.615927015891714
2013-02-28,3.895123602118929
2013-03-31,9.094505591524467
2013-04-30,14.317506376299775
2013-05-31,19.439767510300157
2013-06-30,25.160185403178332
2013-07-31,27.289490876986463
2013-08-31,24.935841671571495
2013-09-30,20.10017951736313
2013-10-31,15.30992544634097
2013-11-30,9.682969393761084
2013-12-31,6.042315122977868
2014-01-31,9.1948881695115
2014-02-28,4.475932901706869
2014-03-31,8.978243084167161
2014-04-30,13.127516185991738
2014-05-31,18.773028251912876
2014-06-30,25.69601824602711
2014-07-31,26.824646851088858
2014-08-31,24.31849911712777
2014-09-30,22.35818128310774
2014-10-31,17.211192858544223
2014-11-30,10.964146556798141
2014-12-31,2.131795173631531
2015-01-31,7.440897586815765
2015-02-28,9.929114184814637
2015-03-31,11.866500882872288
2015-04-30,14.761496958995451
2015-05-31,15.948063566804024
2015-06-30,24.592339611536204
2015-07-31,25.153758092995872
2015-08-31,24.613931724543875
2015-09-30,22.479414361389047
2015-10-31,17.7796134981362
2015-11-30,6.362708904201895
2015-12-31,-2.1426957033549456
2016-01-31,-0.5400206003531594
2016-02-29,8.66676280164802
2016-03-31,5.697495585638649
2016-04-30,11.491691190896574
2016-05-31,18.81328428487342
2016-06-30,25.169667451442024
2016-07-31,27.45001177163033
2016-08-31,26.022689817539742
2016-09-30,21.754493819894094
2016-10-31,14.074685108887593
2016-11-30,9.368140082401453
2016-12-31,4.893993525603321
2017-01-31,-0.7114891112418604
2017-02-28,2.216058465764206
2017-03-31,7.908864037669275
2017-04-30,7.710298214636055
2017-05-31,17.7783990582696
2017-06-30,25.823246027074788
2017-07-31,28.38329017068861
2017-08-31,26.974267216009423
2017-09-30,18.341492054149512
2017-10-31,18.748465764174966
2017-11-30,10.574020011771665
2017-12-31,9.132710417892895
2018-01-31,5.323143025309037
2018-02-28,5.54012654502651
2018-03-31,4.217925250147175
2018-04-30,11.82954090641556
